PATH	START_TIME/END_TIME	TRANSCRIPT
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842085806080.wav	0.38590801886792453/2.4840801886792447	实际上我如果把它比成一个人
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111841477632000.wav	1.7657983490566038/7.601	我们人类呢从这个去打猎变成了把这个动物可以饲养
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111841460854784.wav	0.5743219339622643/3.882606132075472	它们给人类有了很多可以值得加工的材料
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111841452466176.wav	0.643867924528302/4.875	包括石头中的那个玉石啊更是最为珍贵的矿物
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111840802349057.wav	0.2442246835443038/3.323200158227848	出行啊打打仗啊这些都要去占卜
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842790449152.wav	0/6.55	所以我们学习你要带领你的学生以这个为例
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842786254849.wav	0/6.5	跟功能跟工艺的结合特别结合在一起
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842786254848.wav	0/4	又把蝴蝶作为一个角的一个变化
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842782060544.wav	0.5016804245283019/4.675	你看蝴蝶能组合成这么漂亮的图案
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842777866240.wav	0/5.3	符合我们老前辈雷圭元先生的宗旨
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842773671936.wav	0.30527712264150947/2.0148290094339623	那么这个例子是个
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842769477632.wav	0/5.725	那我看今天您还带来了一个就是民间艺术的一个范例
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842765283329.wav	0.23879716981132076/4.05	所以这门课呢也是为了让年轻学子们对
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842765283328.wav	0/5.075	但是对中国的东西呢有一些确实是他们还没有什么了解
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842761089024.wav	0.21155660377358493/3.45	因为对世界的东西国外的东西他们接触得多
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842756894721.wav	0.25683962264150945/4.95	来给我们就是说还算是比较扎实的学习了这个传统的东西
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842756894720.wav	0.30088443396226416/6.075	像我们上学的时候有您这样老一辈的工艺美术教育家
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842752700416.wav	0.4139150943396227/3	因为传承呢我觉得是不能中断的
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842748506112.wav	0/5.7	你继续延续了我们这个承前启后的这种做法
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842744311808.wav	0.31733490566037736/7.475	你算是算是我的一个很重要的一个团队
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842740117504.wav	0/7.675	你很早多少年前你就搞了一个中国传统的文化的历史
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842735923201.wav	0/6.075	但是对我们传统东西要按照你现在你刚才讲的
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842735923200.wav	0/4.228066037735849	尤其现在对年轻人来说更加的重要
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842731728897.wav	0/8.275	所以这个这个发展的历史和我们专业的发展很重要也是一致的
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842731728896.wav	0.9130306603773586/4.075	要有中国特色的社会主义
/data/local-files/?d=label-studio/data/xutangx/zxr/20210331_1377111842727534592.wav	0/6.6	还有我们当时老前辈也讲古为今用洋为中用也不是
